Accuracy,Author,Date,Full_Text,Genre,Opponents,Participants,Race Number,Racer,Rank,Speed,Title,errors
97.3%,"Jim Abrahams, David Zucker, and Jerry Zucker","Mon, 16 Sep 2019 09:18:51 +0000","I think you're the greatest but my dad says you don't work hard enough on defense. And he says that lots of times, you don't even run downcourt. And that you don't really try except during the playoffs.",movie,entr0cks (1st place) magn6788 (4th place),5,4414,Liad (ozonzono),3,65 WPM Try,Airplane!,"[('greatest', ' instead of t'), ('defense.', 'c instead of s'), (""don't"", ""' instead of n""), ('downcourt.', 'e instead of w'), (""don't"", 'e instead of t'), ('really', 'l instead of a')]"
97.1%,Emily Brontë,"Mon, 16 Sep 2019 09:19:39 +0000","I love the ground under his feet, and the air over his head, and everything he touches and every word he says. I love all his looks, and all his actions and him entirely and all together.",book,angryburger (4th place) entr0cks (1st place),5,4415,Liad (ozonzono),3,74 WPM Try,Wuthering Heights,"[('his', 's instead of i'), ('the', 'a instead of t'), ('touches', 'g instead of c'), ('every', 'v instead of e'), ('says.', 'I instead of I'), ('his', 't instead of h')]"
97.5%,Ernest Cline,"Wed, 18 Sep 2019 12:21:41 +0000","Three hidden keys open three secret gates wherein the errant will be tested for worthy traits, and those with the skill to survive these straits will reach the end where the prize awaits.",book,bipbiip (2nd place) dungodoot (1st place) manicman (3rd place),5,4416,Liad (ozonzono),4,70 WPM Try,Ready Player One: A Novel,"[('gates', 'a instead of g'), ('errant', 'a instead of r'), ('tested', 'f instead of d'), ('and', 'd instead of n'), ('prize', 'i instead of r')]"
96.9%,Burton G. Malkiel,"Wed, 18 Sep 2019 12:23:18 +0000","The firm-foundation theory argues that each investment instrument, be it a common stock or a piece of real estate, has a firm anchor of something called intrinsic value, which can be determined by careful analysis of present conditions and future prospects.",book,code_slayer (5th place) dorjeaang (4th place) fingerfrenzy (3rd place),5,4417,Liad (ozonzono),2,63 WPM Try,A Random Walk Down Wall Street,"[('theory', ' instead of y'), ('argues', 't instead of r'), ('stock', 'k instead of c'), ('firm', 'm instead of r'), ('determined', 'e instead of n'), ('present', 's instead of e'), ('conditions', 'a instead of i')]"
97.1%,David Lynch and Mark Frost,"Wed, 18 Sep 2019 15:56:58 +0000","There's a sort of evil out there. Something very, very strange in these old woods. Call it what you want. A darkness, a presence. It takes many forms but it's been out there for as long as anyone can remember and we've always been here to fight it.",other,ed72 (1st place),4,4418,Liad (ozonzono),2,69 WPM Try,Twin Peaks,"[('Something', 'h instead of t'), ('very,', ' instead of ,'), ('presence.', 'a instead of e'), ('forms', 'm instead of r'), ('for', 'o instead of f'), ('remember', 'm instead of e'), ('fight', 'g instead of f')]"
95.3%,Albert Camus,"Wed, 18 Sep 2019 17:24:41 +0000","I leave Sisyphus at the foot of the mountain! One always finds one's burden again. But Sisyphus teaches the higher fidelity that negates the gods and raises rocks. He too concludes that all is well. This universe henceforth without a master seems to him neither sterile nor futile. Each atom of that stone, each mineral flake of that night-filled mountain, in itself forms a world. The struggle itself toward the heights is enough to fill a man's heart. One must imagine Sisyphus happy.",book,a_rgosu (1st place) freere (2nd place) miras14 (4th place) sir_martus_blartus_iii (5th place),5,4419,Liad (ozonzono),3,61 WPM Try,The Myth of Sisyphus and Other Essays,"[('foot', 'r instead of t'), ('One', ' instead of e'), ('burden', 'f instead of b'), ('Sisyphus', 's instead of S'), ('negates', 's instead of e'), ('concludes', 'e instead of d'), ('universe', 'a instead of e'), ('neither', 'i instead of n'), ('sterile', 'e instead of t'), ('nor', 'f instead of n'), ('of', 'a instead of o'), ('mineral', 'a instead of r'), ('flake', 'a instead of l'), ('in', 't instead of n'), ('itself', 'e instead of s'), ('forms', 'm instead of r'), ('toward', 'f instead of t'), ('heights', 'g instead of h'), ('enough', 't instead of g'), (""man's"", ""s instead of '"")]"
97.5%,The Proclaimers,"Wed, 18 Sep 2019 17:25:26 +0000","But I would walk five hundred miles and I would walk five hundred more, just to be the man who walks a thousand miles to fall down at your door.",song,opman335 (2nd place) sweetjay49 (4th place),5,4420,Liad (ozonzono),3,76 WPM Try,I'm Gonna Be (500 Miles),"[('hundred', 'e instead of r'), ('miles', 'e instead of l'), ('a', 't instead of a'), ('miles', 'e instead of l')]"
95.7%,Carl Sagan,"Wed, 18 Sep 2019 17:27:06 +0000","In the witch trials, it was nearly impossible to provide compelling alibis for accused witches: The rules of evidence had a special character. For example, in more than one case a husband attested that his wife was asleep in his arms at the very moment she was accused of frolicking with the devil; but the archbishop patiently explained that a demon had taken the place of the wife.",book,freere (1st place) piecedigital (2nd place),5,4421,Liad (ozonzono),3,65 WPM Try,The Demon-Haunted World: Science as a Candle in the Dark,"[('witch', 'h instead of c'), ('trials,', 'a instead of i'), ('to', 'i instead of t'), ('provide', ' instead of e'), ('compelling', 'e instead of l'), ('evidence', 'a instead of e'), ('character.', 'a instead of h'), ('husband', 'n instead of u'), ('his', 'e instead of s'), ('very', 'f instead of r'), ('moment', 'e instead of m'), ('accused', 'e instead of s'), ('frolicking', 'o instead of r'), ('explained', 'a instead of e')]"
96.3%,"Larry David, Jerry Seinfeld","Wed, 18 Sep 2019 17:28:06 +0000","I was talking to this guy, you know, and I just happened to throw my purse on the sofa and my diaphragm goes flying out. So I just froze, you know, ""ahh!"", staring at my diaphragm. You know, it's just lying there.",other,icry (1st place),5,4422,Liad (ozonzono),2,64 WPM Try,Seinfeld,"[('know,', ' instead of ,'), ('I', 'U instead of I'), ('just', 'U instead of I'), ('throw', 'k instead of t'), ('sofa', 'f instead of s'), ('out.', ', instead of .'), ('So', ', instead of .'), ('just', 'u instead of j'), ('staring', 'r instead of a')]"
98.7%,Joseph L. Mankiewicz,"Wed, 18 Sep 2019 17:28:42 +0000","Take a drink, my friend, and say what you have in your heart. But you never drink. You never say. Because you are afraid of what you have in your heart!",movie,freere (3rd place) imjustbadattyping (2nd place),5,4423,Liad (ozonzono),1,83 WPM Try,The Barefoot Contessa,"[('Take', 'A instead of a'), ('friend,', 'i instead of r')]"
97.2%,Sekhar Bandhyopadhyay,"Thu, 19 Sep 2019 14:09:43 +0000","The state's role would only be the protection of individual rights and private property. The policy came from a consistent disdain for ""Oriental Despotism"", from which Indians needed to be emancipated. Despotism was something that distinguished the Oriental state from its European counterpart; but ironically, it was the same logic that provided an ""implicit justification"" for the ""paternalism of the Raj"".",book,,4,4424,Liad (ozonzono),3,59 WPM Try,From Plassey to Partition And After,"[('individual', 'u instead of d'), ('""Oriental', 'o instead of O'), ('Despotism"",', 'o instead of p'), ('emancipated.', 'c instead of n'), ('Despotism', 'm instead of s'), ('something', 'e instead of m'), ('that', 't instead of a'), ('distinguished', 'e instead of h'), ('ironically,', 'r instead of i'), ('that', ' instead of t'), ('Raj"".', 'A instead of a')]"
97.4%,William Shakespeare,"Thu, 19 Sep 2019 14:10:59 +0000","Double, double, toil and trouble; fire burn, and cauldron bubble. Fillet of a fenny snake, in the cauldron boil and bake, eye of newt and toe of frog, wool of bat and tongue of dog, adder's fork and blind-worm's sting, lizard's leg and owlet's wing, for a charm of powerful trouble, like a hell-broth boil and bubble.",poem,hail_hydra (2nd place),5,4425,Liad (ozonzono),3,65 WPM Try,Macbeth,"[('double,', ' instead of ,'), ('cauldron', 'l instead of u'), ('a', 'f instead of a'), ('fenny', 'e instead of f'), ('and', 'f instead of a'), ('dog,', 'a instead of o'), (""blind-worm's"", 'o instead of w'), ('hell-broth', '0 instead of -')]"
97.8%,Hotel Books,"Thu, 19 Sep 2019 14:11:39 +0000","'Cause I was born a virgin covered in blood and free of sin, and that's the exact shape I wanna make when I jump off this bridge.",song,anmolsaraswat (1st place),4,4426,Liad (ozonzono),3,68 WPM Try,August (Part Two),"[('virgin', 'g instead of r'), ('blood', 'a instead of b'), ('when', 'n instead of e')]"
98.2%,Brian O'Halloran,"Thu, 19 Sep 2019 14:12:44 +0000","Empire had the better ending. I mean, Luke gets his hand cut off, finds out Vader's his father, Han gets frozen and taken away by Boba Fett. It ends on such a down note. I mean, that's what life is, a series of down endings. All Jedi had was a bunch of Muppets.",movie,_pythagoras (3rd place) kazizi55 (2nd place),4,4427,Liad (ozonzono),1,67 WPM Try,Clerks,"[('the', 'e instead of h'), ('mean,', 'a instead of e'), ('Luke', 'i instead of u'), ('on', 'f instead of n'), ('such', 'c instead of s')]"
98.4%,Little Mix,"Thu, 19 Sep 2019 14:13:18 +0000",I know that you wanna but you can't 'cause you gotta stay cool in the corner when the truth is that you wanna move.,song,evdogg (3rd place) fayoxd (5th place),5,4428,Liad (ozonzono),2,72 WPM Try,Move,"[('truth', 'g instead of t')]"
97.4%,Sonia Choquette,"Thu, 19 Sep 2019 14:15:11 +0000","A dream is a gift from God. When you have a great yearning for something, your mind joins your heart and pushes for its fulfillment. Connecting mind to heart is essential to the creative force to be released. Reflect on those things in your life that bring you satisfaction.",book,adamhawkins (1st place),5,4429,Liad (ozonzono),4,68 WPM Try,Soul Lessons and Soul Purpose,"[('pushes', 'd instead of s'), ('Connecting', 'e instead of n'), ('essential', 'e instead of s'), ('creative', 'e instead of i'), ('satisfaction.', 't instead of c')]"
97.4%,Ron Howard,"Thu, 19 Sep 2019 14:16:30 +0000","When I was 9 years old I had kind of a rough time. A lot of people thought I was pretty mixed up. But there was one person who got me through it. He did everything right. And thanks to him today, well I'm the happiest, most confident and most well-adjusted person in this world. Dad, I love you. You're the greatest!",movie,,3,4430,Liad (ozonzono),2,64 WPM Try,Parenthood,"[('kind', 'o instead of i'), ('rough', 't instead of t'), ('I', 'i instead of I'), ('thanks', 'k instead of n'), ('confident', 'e instead of d'), ('person', 'w instead of e'), ('love', 'v instead of o'), ('greatest!', 't instead of r')]"
97.1%,Robert Zemeckis,"Thu, 19 Sep 2019 14:17:18 +0000","Lieutenant Dan got me invested in some kind of fruit company. So then I got a call from him, saying we don't have to worry about money no more. And I said, ""That's good! One less thing.""",movie,,4,4431,Liad (ozonzono),1,64 WPM Try,Forrest Gump,"[('invested', 't instead of s'), ('company.', ' instead of o'), ('from', 'i instead of o'), ('thing.""', 'i instead of h')]"
96.8%,Henry Koster,"Thu, 19 Sep 2019 14:18:55 +0000","I've been driving this route for 15 years. I've brought 'em out here to get that stuff, and I've drove 'em home after they had it. It changes them... On the way out here, they sit back and enjoy the ride. They talk to me; sometimes we stop and watch the sunsets, and look at the birds flyin'. Sometimes we stop and watch the birds when there ain't no birds. And look at the sunsets when it's raining. We have a swell time. And I always get a big tip.",movie,,4,4432,Liad (ozonzono),2,68 WPM Try,Harvey,"[('driving', 'n instead of v'), (""'em"", ""e instead of '""), ('out', 'b instead of o'), (""'em"", ""e instead of '""), ('back', 'v instead of b'), ('enjoy', 'u instead of y'), ('sometimes', 'e instead of t'), ('look', 't instead of k'), ('birds', 'g instead of b'), ('Sometimes', 's instead of S'), ('birds', 's instead of d'), ('sunsets', 'e instead of s'), ('swell', 'e instead of l'), ('always', 'w instead of l'), ('get', 't instead of g'), ('tip.', 'o instead of i')]"
96.4%,Don Henley,"Thu, 19 Sep 2019 14:19:51 +0000","Lying here in the darkness I hear the sirens wail. Somebody's going to emergency, somebody's going to jail. You find somebody to love in this world, you better hang on tooth and nail. The wolf is always at the door.",song,tinhnguyen (2nd place),5,4433,Liad (ozonzono),1,63 WPM Try,New York Minute,"[('hear', 't instead of t'), ('the', 't instead of t'), ('find', 'i instead of f'), ('love', 'v instead of o'), ('world,', 'o instead of w'), ('hang', 'd instead of g'), ('wolf', 'r instead of l'), ('always', 's instead of a')]"
98.2%,Justin Roiland and Dan Harmon,"Thu, 19 Sep 2019 14:20:49 +0000","Listen to your sister, Morty. To live is to risk it all. Otherwise, you're just an inert chunk of randomly assembled molecules drifting wherever the universe blows you. Oh, I'm sorry, Jerry, I didn't see you there.",other,tinhnguyen (4th place),5,4434,Liad (ozonzono),3,61 WPM Try,Rick and Morty,"[('Otherwise,', ' instead of w'), ('assembled', 'm instead of e'), ('universe', 'n instead of u')]"
96.3%,Michio Kaku,"Thu, 19 Sep 2019 14:22:32 +0000","Imagine fish swimming in a shallow pond, just below the lily pads, thinking that their ""universe"" is only two-dimensional. Our three-dimensional world may be beyond their ken. But there is a way in which they can detect the presence of the third dimension. If it rains, they can clearly see the shadows of ripples traveling along the surface of the pond. Similarly, we cannot see the fifth dimension, but ripples in the fifth dimension appear to us as light.",book,aadilthegoat (2nd place),3,4435,Liad (ozonzono),1,63 WPM Try,"Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos","[('lily', 'i instead of y'), ('pads,', 'k instead of ,'), ('two-dimensional.', ' instead of -'), ('three-dimensional', ' instead of d'), ('dimension.', 't instead of d'), ('rains,', 's instead of n'), ('they', 'w instead of t'), ('clearly', 'e instead of l'), ('shadows', 'n instead of s'), ('ripples', 'i instead of r'), ('Similarly,', 'm instead of i'), ('dimension,', 'd instead of e'), ('as', ' instead of s'), ('light.', 'h instead of g')]"
